,Date / Time,Incident Number,Location,Nature,Incident ORI
0,12/31/2023 0:00,2023-00087868,W COMANCHE ST / S WEBSTER AVE,Traffic Stop,OK0140200
1,12/31/2023 0:01,2023-00087870,412 SUNBURST ST,Disturbance/Domestic,OK0140200
2,12/31/2023 0:20,2023-00087872,2319 E LINDSEY ST,Alarm,OK0140200
3,12/31/2023 0:20,2023-00087871,2635 W TRENTON RD,Disturbance/Domestic,OK0140200
4,12/31/2023 0:21,2023-00026059,12300 SE 157TH ST,Breathing Problems,EMSSTAT
5,12/31/2023 0:28,2023-00087873,1528 E LINDSEY ST,Barking Dog,OK0140200
6,12/31/2023 0:28,2023-00026060,901 N PORTER AVE,Transfer/Interfacility,EMSSTAT
7,12/31/2023 0:36,2023-00026063,901 N PORTER AVE,Transfer/Interfacility,EMSSTAT
8,12/31/2023 0:39,2023-00087875,1224 ALAMEDA ST,Alarm,OK0140200
9,12/31/2023 0:41,2023-00087876,505 GOLDEN OAKS DR,Disturbance/Domestic,OK0140200
10,12/31/2023 0:46,2023-00087877,N PORTER AVE / E ROCK CREEK RD,Traffic Stop,OK0140200
11,12/31/2023 0:54,2023-00019408,201 REED AVE,Breathing Problems,14005
12,12/31/2023 0:54,2023-00026064,201 REED AVE,Breathing Problems,EMSSTAT
13,12/31/2023 0:56,2023-00087878,2550 W FRANKLIN RD,Mutual Aid,OK0140200
14,12/31/2023 0:56,2023-00019409,308 ECCELL CT,Fire Carbon Monoxide Alarm,14005
15,12/31/2023 1:00,2023-00087879,2932 MISTY RIDGE DR,Loud Party,OK0140200
16,12/31/2023 1:05,2023-00087881,2501 CONFERENCE DR,Stolen Vehicle,OK0140200
17,12/31/2023 1:21,2023-00087890,1812 ALAMEDA ST,Vandalism,OK0140200
18,12/31/2023 1:21,2023-00019410,1516 WILDERNESS DR,Overdose/Poisoning,14005
19,12/31/2023 1:21,2023-00026065,1516 WILDERNESS DR,Overdose/Poisoning,EMSSTAT
20,12/31/2023 1:25,2023-00087880,2404 CLASSEN BLVD,Traffic Stop,OK0140200
21,12/31/2023 1:29,2023-00087882,COLLEGE AVE / W BOYD ST,Traffic Stop,OK0140200
22,12/31/2023 1:32,2023-00087883,901 N PORTER AVE,Escort/Transport,OK0140200
23,12/31/2023 1:33,2023-00019411,3812 MANDERLY PL,Fire Odor Investigation,14005
24,12/31/2023 1:34,2023-00019412,421 E ACRES ST,Fire Controlled Burn,14005
25,12/31/2023 1:34,2023-00087884,421 E ACRES ST,Suspicious,OK0140200
26,12/31/2023 1:38,2023-00026066,901 N PORTER AVE,Transfer/Interfacility,EMSSTAT
27,12/31/2023 1:42,2023-00087885,TULSA ST / CLASSEN BLVD,Traffic Stop,OK0140200
28,12/31/2023 1:59,2023-00087887,205 JASON DR,Stolen Vehicle,OK0140200
29,12/31/2023 1:59,2023-00087886,E BOYD ST / JENKINS AVE,Traffic Stop,OK0140200
30,12/31/2023 2:01,2023-00087891,705 N PORTER AVE,Alarm,OK0140200
31,12/31/2023 2:16,2023-00087888,2343 W MAIN ST,Alarm,OK0140200
32,12/31/2023 2:28,2023-00087889,3450 CHAUTAUQUA AVE,Alarm,OK0140200
33,12/31/2023 3:15,2023-00087892,2800 W INDIAN HILLS RD,Traffic Stop,OK0140200
34,12/31/2023 3:16,2023-00019413,1400 WOODCREEK DR,Heart Problems/AICD,14005
35,12/31/2023 3:16,2023-00026067,1400 WOODCREEK DR,Heart Problems/AICD,EMSSTAT
36,12/31/2023 3:22,2023-00087893,N PETERS AVE / E VIDA WAY,Traffic Stop,OK0140200
